Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,14,5
bavaria,14,5
berlin,14,5
brandenburg,14,5
bremen,14,5
germany,7,1
hamburg,14,5
hesse,13,5
lower saxony,13,5
mecklenburg western pomerania,13,5
north rhine-westphalia,14,5
rhineland palatinate,14,5
saarland,13,5
saxony-anhalt,13,5
saxony,13,5
schleswig-holstein,13,5
thuringia,13,5
