Value,Disaggregation combinations using this value,Number of indicators
Bidasoa,29,29
Debabarrena,29,29
Debagoiena,29,29
Donostialdea,29,29
Gipuzkoa,29,29
Goierri,29,29
Tolosaldea,29,29
Urola-Kosta,29,29
