Indicator,Disaggregation combinations using this value
#8-2-1,1
#8-4-1,3
#8-4-2,1
#9-1-1,1
#9-1-2,6
#9-2-1,3
#9-2-2,3
#9-4-1,1
#9-5-1,17
#9-5-2,1
