Indicator,Disaggregation combinations using this value
#4-b-1,2
#5-2-1,1
#5-2-2,2
#5-6-2,1
#5-b-1,1
#6-4-2,2
#7-2-1,1
#7-3-1,1
#8-10-1,1
#8-10-2,6
#8-4-1,3
#8-4-2,3
#8-5-2,2
#8-6-1,3
#8-9-1,1
#9-1-2,1
#9-3-1,1
#9-4-1,1
#9-b-1,3
