Indicator
#1-2-9
#1-5-4
#1-5-5
#1-8-7
#2-1-1
#2-1-2
#2-1-3
#2-3-1
#2-3-10
#2-3-11
#2-3-12
#2-3-13
#2-3-2
#2-3-3
#2-3-4
#2-3-5
#2-3-6
#2-3-7
#2-3-8
#2-3-9
#3-1-1
#3-1-2
#3-1-3
#3-1-4
#3-4-1
#3-4-2
