Indicator,Disaggregation combinations using this value
#1-2-9,1
#1-5-4,1
#1-5-5,1
#1-7-1,1
#1-7-2,1
#1-8-7,1
#2-1-1,1
#2-1-2,1
#2-1-3,1
#2-2-5,1
#2-3-1,1
#2-3-10,1
#2-3-11,1
#2-3-12,1
#2-3-13,1
#2-3-2,1
#2-3-3,1
#2-3-4,1
#2-3-5,1
#2-3-6,1
#2-3-7,1
#2-3-8,1
#2-3-9,1
#3-1-1,1
#3-1-2,1
#3-1-3,1
#3-1-4,1
#3-4-1,1
#3-4-2,1
