Indicator
#16-7-1
#16-7-2
#16-9-1
#16-b-1
#17-1-1
#17-1-2
#17-13-1
#17-17-1
#17-18-1
#17-18-2
#17-19-1
#17-19-2
#17-2-1
#17-5-1
#17-6-1
#17-7-1
#17-8-1
#2-3-1
#2-4-1
#2-5-1
#2-5-2
#2-a-1
#2-b-1
#3-1-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-5-1
#3-5-2
#3-6-1
#3-8-2
#3-9-2
#3-b-1
#3-c-1
#3-d-1
#3-d-2
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-a-1
#4-b-1
#5-1-1
#5-2-1
#5-2-2
#5-3-1
#5-3-2
#5-5-2
#5-6-2
#5-a-1
#5-a-2
#5-b-1
#6-1-1
#6-2-1
#6-3-1
#6-4-1
#6-4-2
#7-1-2
#7-2-1
#7-3-1
#7-b-1
#8-1-1
#8-10-1
#8-10-2
#8-2-1
#8-4-1
#8-4-2
#8-5-1
#8-5-2
#8-6-1
#8-7-1
#8-8-1
#8-8-2
#8-9-1
#9-1-1
#9-1-2
#9-2-1
#9-2-2
#9-3-1
#9-4-1
#9-5-1
#9-5-2
#9-b-1
#9-c-1
