Value,Disaggregation combinations using this value,Number of indicators
Bidasoa,4,4
Debabarrena,4,4
Debagoiena,4,4
Donostialdea,4,4
Gipuzkoa,4,4
Goierri,4,4
Tolosaldea,4,4
Urola-Kosta,4,4
