Value,Disaggregation combinations using this value,Number of indicators
exposure to excessive natural cold,2,2
exposure to excessive natural heat,4,2
exposure to other and unspecified forces of nature,4,2
exposure to sunlight,4,2
"victim of avalanche, landslide and other earth movements",4,2
victim of cataclysmic storm,4,2
victim of earthquake,2,2
victim of flood,6,2
victim of lightning,4,2
victim of volcanic eruption,2,2
