Value,Disaggregation combinations using this value,Number of indicators
11 months and younger,1,1
13 years and younger,4,1
14 to under 18 years,3,1
14 years and younger,2,1
15 to under 25 years,60,3
15 to under 65 years,18,1
15 years and older,54,1
16 to under 25 years,26,3
16 to under 75 years,26,2
17 years and younger,2,1
25 to under 35 years,4,1
25 to under 45 years,54,1
25 to under 55 years,18,1
25 to under 65 years,22,2
25 to under 75 years,7,1
35 to under 45 years,4,1
4 years and younger,6,2
45 to under 55 years,57,2
55 to under 65 years,64,3
65 to under 75 years,5,2
65 years and older,36,1
75 years and older,1,1
