Year,Group,Value
2025,Gipuzkoa,6.1
2025,Debagoiena,6.4
2025,Bidasoa,6.1
2025,Debabarrena,6.2
2025,Donostialdea,6.1
2025,Goierri,6.0
2025,Tolosaldea,6.1
2025,Urola-Kosta,6.3
