Year,Eskualdea,Units,Value
2025,Debagoiena,%,5.8
2025,Bidasoa,%,2.0
2025,Debabarrena,%,8.3
2025,Donostialdea,%,3.5
2025,Goierri,%,7.1
2025,Tolosaldea,%,7.5
2025,Urola-Kosta,%,8.0
2025,Gipuzkoa,%,5.4
