Year,Eskualdea,Units,Value
2025,Debagoiena,%,9.2
2025,Bidasoa,%,12.7
2025,Debabarrena,%,6.7
2025,Donostialdea,%,8.5
2025,Goierri,%,4.3
2025,Tolosaldea,%,6.7
2025,Urola-Kosta,%,6.0
2025,Gipuzkoa,%,7.9
