Year,Eskualdea,Units,Value
2025,Debagoiena,%,85.8
2025,Bidasoa,%,86.5
2025,Debabarrena,%,73.8
2025,Donostialdea,%,85.4
2025,Goierri,%,77.6
2025,Tolosaldea,%,82.2
2025,Urola-Kosta,%,89.8
