Year,Eskualdea,Units,Value
2025,Debagoiena,%,71.6
2025,Bidasoa,%,40.0
2025,Debabarrena,%,60.0
2025,Donostialdea,%,50.6
2025,Goierri,%,64.2
2025,Tolosaldea,%,69.2
2025,Urola-Kosta,%,63.3
2025,Gipuzkoa,%,60.0
