Year,Eskualdea,Units,Value
2025,Debagoiena,%,5.8
2025,Bidasoa,%,18.0
2025,Debabarrena,%,10.0
2025,Donostialdea,%,8.5
2025,Goierri,%,10.0
2025,Tolosaldea,%,10.8
2025,Urola-Kosta,%,11.3
2025,Gipuzkoa,%,10.5
