Year,Group,Units,Value
2021,Debagoiena,%,0.6486
2021,Bidasoa,%,0.4617
2021,Debabarrena,%,0.6124
2021,Donostialdea,%,0.4981
2021,Goierri,%,0.6398
2021,Tolosaldea,%,0.7333
2021,Urola-Kosta,%,0.7736
