Year,Group,Units,Value
2025,Debagoiena,%,12.5
2025,Bidasoa,%,17.3
2025,Debabarrena,%,14.2
2025,Donostialdea,%,15.5
2025,Goierri,%,18.6
2025,Tolosaldea,%,13.3
2025,Urola-Kosta,%,10.7
