Year,Group,Value
2025,Gipuzkoa,5.23
2025,Debagoiena,5.5
2025,Bidasoa,5.0
2025,Debabarrena,5.4
2025,Donostialdea,5.0
2025,Goierri,5.1
2025,Tolosaldea,5.3
2025,Urola-Kosta,5.4
