Year,Group,Units,Value
2025,Debagoiena,%,91
2025,Bidasoa,%,86
2025,Debabarrena,%,85
2025,Donostialdea,%,88
2025,Goierri,%,88
2025,Tolosaldea,%,84
2025,Urola-Kosta,%,89
