Year,Eskualdea,Value
2025,Debagoiena,6.55
2025,Bidasoa,6.16
2025,Debabarrena,6.36
2025,Donostialdea,6.03
2025,Goierri,6.15
2025,Tolosaldea,6.36
2025,Urola-Kosta,6.60
2025,Gipuzkoa,6.25
