Year,Group,Units,Value
2025,Debagoiena,%,58.03
2025,Bidasoa,%,50.23
2025,Debabarrena,%,59.16
2025,Donostialdea,%,53.83
2025,Goierri,%,53.10
2025,Tolosaldea,%,54.13
2025,Urola-Kosta,%,58.86
2025,Gipuzkoa,%,55
