Year,Group,Units,Value
2025,Debagoiena,%,88.3
2025,Bidasoa,%,87.3
2025,Debabarrena,%,86.6
2025,Donostialdea,%,85.0
2025,Goierri,%,84.3
2025,Tolosaldea,%,86.7
2025,Urola-Kosta,%,85.3
2025,Gipuzkoa,%,85.9
