Year,Group,Units,Value
2025,Debagoiena,%,0.91
2025,Bidasoa,%,0.86
2025,Debabarrena,%,0.85
2025,Donostialdea,%,0.88
2025,Goierri,%,0.88
2025,Tolosaldea,%,0.84
2025,Urola-Kosta,%,0.89
