Year,Group,Units,Value
2025,Debagoiena,%,15.0
2025,Bidasoa,%,10.7
2025,Debabarrena,%,10.0
2025,Donostialdea,%,9.8
2025,Goierri,%,10.7
2025,Tolosaldea,%,15.0
2025,Urola-Kosta,%,10.7
2025,Gipuzkoa,%,11.2
