Year,Group,Units,Value
2025,Debagoiena,%,15.8
2025,Bidasoa,%,20.0
2025,Debabarrena,%,27.5
2025,Donostialdea,%,32.8
2025,Goierri,%,22.9
2025,Tolosaldea,%,28.3
2025,Urola-Kosta,%,32.0
2025,Gipuzkoa,%,27.3
