Year,Group,Units,Value
2025,Debagoiena,%,0.125
2025,Bidasoa,%,0.173
2025,Debabarrena,%,0.142
2025,Donostialdea,%,0.155
2025,Goierri,%,0.186
2025,Tolosaldea,%,0.133
2025,Urola-Kosta,%,0.107
