Year,Comarca,Units,Value
2025,Debagoiena,%,2.5
2025,Bidasoa,%,0.0
2025,Debabarrena,%,5.0
2025,Donostialdea,%,1.0
2025,Goierri,%,0.7
2025,Tolosaldea,%,0.0
2025,Urola-Kosta,%,3.3
2025,Gipuzkoa,%,1.6
