Year,Comarca,Value
2025,Debagoiena,6.3
2025,Bidasoa,5.68
2025,Debabarrena,6.13
2025,Donostialdea,5.62
2025,Goierri,5.84
2025,Tolosaldea,6.06
2025,Urola-Kosta,6.25
2025,Gipuzkoa,5.89
