Year,Eskualdea,Units,Value
2025,Debagoiena,uds,0.88
2025,Bidasoa,uds,0.87
2025,Debabarrena,uds,0.88
2025,Donostialdea,uds,0.82
2025,Goierri,uds,0.94
2025,Tolosaldea,uds,0.86
2025,Urola-Kosta,uds,0.87
2025,Gipuzkoa,uds,0.87
