Year,Group,Units,Value
2025,Debagoiena,%,0.716
2025,Bidasoa,%,0.4
2025,Debabarrena,%,0.6
2025,Donostialdea,%,0.506
2025,Goierri,%,0.642
2025,Tolosaldea,%,0.692
2025,Urola-Kosta,%,0.633
