Year,Group,Units,Value
2025,Debagoiena,%,14.7
2025,Bidasoa,%,17.0
2025,Debabarrena,%,22.3
2025,Donostialdea,%,18.3
2025,Goierri,%,20.55
2025,Tolosaldea,%,18.1
2025,Urola-Kosta,%,16.0
2025,Gipuzkoa,%,18.1
