Year,Group,Units,Value
2025,Debagoiena,%,0.883
2025,Bidasoa,%,0.873
2025,Debabarrena,%,0.866
2025,Donostialdea,%,0.85
2025,Goierri,%,0.843
2025,Tolosaldea,%,0.867
2025,Urola-Kosta,%,0.853
