Year,Comarca,Units,Value
2021,Debagoiena,%,64.86
2021,Bidasoa,%,46.17
2021,Debabarrena,%,61.24
2021,Donostialdea,%,49.81
2021,Goierri,%,63.98
2021,Tolosaldea,%,73.33
2021,Urola-Kosta,%,77.36
2021,Gipuzkoa,%,57.5
